step	train_accuracy
0	0.3675595223903656
1	0.5580357313156128
2	0.6778273582458496
3	0.7373511791229248
4	0.784970223903656
5	0.8132440447807312
6	0.851190447807312
7	0.8638392686843872
8	0.8504464030265808
9	0.9002976417541504
10	0.9077380895614624
11	0.883184552192688
12	0.913690447807312
13	0.9129464030265808
14	0.918154776096344
15	0.9270833134651184
16	0.9203869104385376
17	0.9427083134651184
18	0.9345238208770752
19	0.9382440447807312
20	0.9397321343421936
21	0.9464285969734192
22	0.944940447807312
23	0.9523809552192688
24	0.9404761791229248
25	0.9627976417541504
26	0.9598214030265808
27	0.9627976417541504
28	0.965029776096344
29	0.9620535969734192
30	0.9620535969734192
31	0.9590773582458496
32	0.9732142686843872
33	0.96875
34	0.972470223903656
35	0.9732142686843872
36	0.9799107313156128
37	0.9754464030265808
38	0.984375
39	0.9813988208770752
40	0.980654776096344
41	0.9784226417541504
